0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
53.25,105.39,24.44,118.93,104.93,43.96,136.3,70.21,96.79,97.57,96.43,31.17,15.04,21.45,37.7,12.39,118.24,49.43,31.83,25.63,117.43,217.64,127.62,27.54,184.21,146.86,26.61,26.78,88.82
125.07,433.13,412.02,390.95,406.18,268.91,196.24,251.38,189.07,211.68,235.62,324.84,188.03,204.21,172.74,264.91,370.76,189.49,177.64,428.92,232.79,342.65,260.18,257.68,239.69,302.11,37.76,188.6,357.88
400.69,414.36,170.34,303.82,182.66,209.44,1279.8,133.56,501.22,676.04,202.03,226.32,789.82,113.29,481.04,231.28,475,1083,1459.7,295.75,389.33,738.38,231.74,256.74,321.2,1072,688.86,616,339.3
1209.4,945.3,724.83,780.58,714.59,828.48,419.56,612.92,959.76,774.73,1121.5,926.84,2024,1416.9,404.44,615.59,1465.7,1845.7,657.54,352.07,425.48,685.15,821.98,1550.9,930.67,762.2,725.52,1037,754.48
85.895,135.51,99.17,51.39,104.95,90,57.88,51.205,27.845,61.73,26.12,91.31,51.64,43.07,78.19,189.89,106.76,26.26,35.76,44.67,132.95,57.27,51.38,122.66,48.86,27.08,54.045,39.365,54.495
317.43,213.19,329.31,129.75,404.79,212.93,144.31,196.9,361.12,375.12,365.51,200.65,865.21,521.11,29.86,193.59,686.17,857,345.21,70.9,21.405,83.625,202.5,414.06,158.63,315.16,305.22,328.66,267.11
183.94,251.66,182.66,92.75,179.72,169.21,59.47,155.52,132.04,157.59,186.98,219.77,156.52,152.21,141.27,154.22,95.165,125.77,95.65,197.52,323.61,260.96,112.14,112.14,132.04,184.97,101.15,158.89,42.8
330.14,217.76,346.16,76.1,309.98,289.72,335.66,430.15,376.3,233.64,389.13,475.03,428.28,222.71,263.23,397.66,470.03,394.31,414.47,395.81,41.3,327.26,175.94,217.72,296.85,344.79,490.89,402.38,189.9
34.98,14.74,110.6,20.25,33.94,21.05,16.02,59,27.05,25.21,31.47,26.26,19.1,98.07,16.54,19.94,21.93,49.22,25.04,110.73,18.13,149.06,130.16,24.91,14.54,77.81,19.67,30.53,124.9
101.75,93.19,57.615,48.07,118.47,70.205,67.04,53.835,40.51,63,83.84,133.63,177.57,86.075,72.07,118.41,60.465,52.14,92,53.075,94.19,68.855,151.96,39.265,120.77,73.78,185,43.73,43.855
255.1,158.15,503.27,389.58,328.13,364.3,277.92,277.52,245.84,239.04,270.57,266.06,251.94,424.81,397.53,395.5,374.48,262.43,212.89,429.88,229.48,343.25,295.56,170.12,132.86,183.23,171.19,203.81,239.06
531.15,561.71,606.99,598.04,660.76,340.39,569.98,539.7,480.21,446.05,469.03,620.28,517.54,465.09,395,557.21,476.38,410.51,477.6,498.26,843.95,610.4,471.74,581.58,428.94,546.66,404.03,502.82,589.19
20.55,21.42,33.94,20.31,60.53,20.43,28.22,40.4,17.98,14.91,32.68,19.46,36.22,17.41,22.59,40.28,119.3,93.1,23.11,16.01,23.34,43.62,79.69,39.9,80.01,23.4,58.94,119.1,16.95
677.2,427.29,1873.6,636.61,951.05,809.97,973.54,1333.4,693.05,602.3,824,1221.3,1323.2,747.6,644.93,317.13,647.57,1002.6,600.31,163.15,252.35,352.96,557.83,492.45,800.6,751.18,1140.6,981.5,657.69
245.92,368.94,187.88,60.85,181.91,167.11,241.16,154.79,267.93,231.33,217.53,116.19,411.51,202.69,840.04,617.2,206.37,387.03,470.37,111.93,269.17,132.74,394.6,165.94,218.66,325.7,194.24,614.03,135.92
811.76,655.77,925.29,788.95,1250.4,682.8,592.81,661.31,668.59,507.88,799.98,845.3,484.73,669.13,764.44,876.29,998.25,574.75,525.97,660.87,1023.7,608.37,865.04,649.12,530.02,601.21,800.74,742.07,723.17
200.75,276.21,171.31,154.52,225.47,192.32,391.26,186.09,246.88,220.57,236.63,202.84,248.65,135.28,210.22,283.9,223.05,329.74,199.63,47.107,253.89,312.94,338.89,348.62,230.11,265.51,221.24,312.91,261
23.335,16.88,30.025,31.46,18.16,38.715,20.665,44.965,28.575,18.335,22.235,35.645,29.085,26.945,28.525,26.82,24.485,23.33,28.105,29.735,26.075,26.595,46.86,25.965,43.63,26.015,43.41,40.33,26.945
47.3,156.91,103.97,46.903,110.53,92.28,126.07,115.61,63.757,99.157,94.167,171.33,57.25,105.86,143.23,62.85,103.98,80.783,34.457,113.88,153.71,117.18,83.893,124.19,146.1,91.323,157.94,86.577,95.687
231.77,171.04,169.34,177.56,235.09,341.91,197.57,237.58,198.84,164.71,344.24,257.15,245.32,248.97,68.985,97.44,316.08,236.24,133.74,178.1,159.9,225.76,307.24,359.75,334.09,187.46,341.87,312.75,175.52
31.58,30.98,84.83,101.86,18.39,77.7,47.71,40.25,73.31,39.96,21.37,48.89,23.48,50.33,84.22,9.78,68.9,60.49,94.51,153.92,79.75,41.48,68.25,105.27,29.85,86.23,68.55,14.68,4.85
1847.8,963.98,1223.7,1027.9,1200.5,1433.8,1015.2,1407.8,1317.8,1266.7,1012.3,2419.8,1778.9,1778.9,888.29,1189.4,1696.1,2017.8,1817.7,1158.1,709.9,1421.4,737.72,1912.4,1029.2,1998.5,952.84,2190.3,829.03
187.79,153.9,347.17,284.12,183.63,211.08,222.66,210.49,167.89,185.95,105.44,253.12,250.37,175.89,143.59,200.8,250.92,300.41,171.73,149.66,144.11,182.44,167.62,274.5,220.63,184.44,221.98,149.24,287.91
536.8,560.88,450.97,466.02,418.35,677.3,340.71,577.41,663.69,448.38,493.17,502.49,341.73,765.92,624.71,691.22,321.14,459.13,562.79,628.1,337.21,491.7,320.83,512.98,775.43,307.87,468.4,355.18,351.31
1067.6,1176.9,1463.9,1368.1,910.78,1422.5,1237,1272.3,884.57,1190.6,1216.4,1087.8,1409.9,1060.6,1272.1,1400.8,1037.3,1227.6,1128.3,1495.3,892.13,1186.7,810.19,951.5,1131.6,969.5,1449.2,1006.3,1939
224.55,264.22,260.29,307.8,265.54,224.65,269.17,204.5,258.31,268.79,358.93,320.81,203.09,244.92,252.48,286.98,209.27,319.26,247.18,258.59,172.61,170.89,193,303,220.91,212.8,240.91,185.07,285.66
396.73,759.08,451.28,554.24,680.09,498.2,655.16,654,373.66,520.67,302.07,492.2,617.84,536.02,419.5,887.8,531.56,592.52,479.17,581.51,245.41,362.39,448.68,569.33,653.57,376.66,552.6,364.66,994.94
396.57,356.17,432.33,287.18,424.06,512.27,388.45,374.2,540.14,646.04,797.24,377.42,694.38,505.03,435.6,433.55,431.91,643.59,710.51,380.32,302.65,420.67,312.58,539.21,373.81,282.32,437.91,483.66,353.88
1593.4,1530.8,3958.1,816.82,2483.6,787.53,607.6,677.56,995.28,1345.4,563.01,2497.9,1118.8,475.33,258.5,276.64,1150.1,799.41,387.74,576.13,144.23,1149.9,961.81,1324.4,1060,1277.3,645.41,1607,327.6
183.72,139.36,321.32,88.72,331.14,129.31,69.56,187.99,216.47,131.16,197.8,85.66,175.48,268.43,310,109.39,397.96,213.82,266.27,361.34,279.19,482.64,521.6,300.71,262.21,519.01,479.61,318.06,281.01
9.15,9.69,34.38,8.31,82.21,18.51,9.54,35.83,10.5,14.2,21.05,23.49,17.01,25.49,11.5,8.94,189.54,9.35,38.21,8.16,13.06,125.75,10.88,19.61,76.33,28.45,9.51,14.53,14.96
950.38,1030.7,1092.5,911.03,972.82,771.18,1103.4,708.85,671.81,758.7,701.01,1196,763.07,578.05,746.86,1019.9,1049.7,955.41,1537.2,1165.8,1483.4,1244,767.85,807.82,1199,1043.7,1013.8,973.27,1379.6
1094.3,1542.6,1695.1,875.45,1126.7,742.95,1026.6,1126.7,1248.2,1120.5,1622.4,1692.3,1514.5,1186.5,1234.7,1354.2,1110.9,968.78,948.21,912.82,261.7,1616.3,1418.1,1604.4,2646.2,1517,2245.3,1145.8,1061.9
346.21,741.93,317.53,346.57,355.29,449.86,437.78,277.17,431.31,464.16,520.97,456.69,378.62,279.08,470.93,273.29,276.18,402.41,497.96,370.95,223.96,135.21,356.24,488.27,404.01,533.62,375.23,498.66,217.09
613.72,287.36,760.8,493.83,743.46,626.45,383.05,700.68,581.3,584.45,443.09,375.57,507.74,851.14,409.29,362.54,375.3,332.08,328.61,326.92,340.83,223.94,241.01,461.66,195.12,406.79,252.26,337.32,204.93
1225.5,656.19,872.48,936.91,434.3,803.54,651.52,935.49,767.49,1095.2,610.95,776.33,1445.3,1255.8,556.03,433.74,1283.4,2190.3,288.95,397.27,367.4,501.22,559.84,1010.7,561.8,951.5,599.57,1511.4,542.12
594.19,974.24,815.87,1030.3,1046.1,847,966.51,592.85,577.86,775.51,810.07,960.78,709.49,583.62,1022.4,952.84,1051.9,625.53,753.47,1242.6,1883.1,1105,1578.4,875.55,484.29,745.38,677.49,627.23,1183.7
371.42,245.14,211.67,287.88,320.81,261.02,283.34,405.78,394.74,247.89,350.25,340.22,240.05,335.61,293.81,197.04,209.58,176.71,149,394.02,308.4,397.68,340.35,361.19,138.44,293.8,259,359.43,276.47
315.04,231.59,171.85,198.67,374.61,244.3,262.32,444.59,231.8,174.06,198.82,286.88,376.83,271.51,232.12,241.37,237.56,366.14,288.44,343.93,122.16,228.63,210.21,287.08,330.58,311.44,217.3,311.93,190.34
100.94,61.74,37.48,24.6,17.58,34.9,42.21,25.49,36.84,29.98,20.32,18.37,37.41,42.41,47.68,141.9,47.09,40.4,20.73,72.48,53.68,45.02,146.47,46.67,40.9,40.99,95.55,45.85,46.36
830.43,527.68,607.94,481.1,667.22,825.79,687.99,1003.7,1051,759.89,546.29,661.46,698.19,1120.2,515.93,687.31,620.87,707.25,576.26,948.09,527.88,556.1,584.57,511.43,657.43,732.9,355.4,838.08,332.89
222.95,215.42,134.63,221.37,294.15,194.17,197.1,181.36,127.99,276.78,189.28,243.95,211.69,277.27,308.84,176.52,270.17,228.16,214.83,217.25,292.69,380.04,396.53,385.05,196.3,288.69,227.93,218.81,329.25
20.42,234.14,58.44,318.37,113.57,86.74,37.69,11.13,16.92,61.88,194.89,171.31,117.26,153.07,64.81,72.61,22.35,56.79,97.41,87.78,137.58,17.95,257.54,111.33,73.13,111.76,37.37,71.7,102.19
778.73,780.85,773.14,684.44,827.79,847.78,863.68,675.84,746.57,1017.4,635.18,1046.5,1042.4,787.08,1086.8,783.12,663.52,1109.5,962.97,672.56,702.23,817.9,613.46,1015.4,769.8,815.67,815.46,680.22,923.77
388.5,650.74,425.15,694.87,344.98,400.34,290.95,425.32,304.93,390.55,540.55,342.16,246.43,385.32,615.2,435.55,295.5,312.2,335.11,642.34,698.15,549.27,377.11,856.39,261.13,281.64,436.88,401.79,153.77
1172.6,1084.4,1500.9,1398.4,1142.8,2054.5,1809.3,1543.2,1528.7,1956.8,1686.3,1132.8,1189.5,1420.2,1735.3,1259.3,1410.3,1122.8,1186.9,2391.5,1745.3,1104,1586.6,1311.5,1261.4,1166.9,1458.2,1011,1582.4
290.45,60.61,319.16,19.66,61.31,172.15,229.47,30.77,54.45,220.91,83.22,34.54,190.21,26.28,152.18,49.83,163.7,193.75,195.51,113.14,395.49,256.56,49.86,116.24,33.72,94.71,100.46,38.67,144.61
197.8,205.51,51.42,121.55,77.697,143.89,200.72,100.33,121.47,198.1,66.59,223.68,169.45,123.47,269.56,200.93,176.76,97.667,78.507,76.157,139.12,181.89,63.537,128.29,98.233,219.18,187.9,205.79,238.09
5350.5,6940.2,4955.6,5651.3,4253.2,6440,5257.2,5446.1,6961.5,8503.7,4728.2,6773.8,8810.2,4973.9,6427.5,3987.3,5746.5,7488.2,4937.2,950.69,2641.8,3486,7198.5,4621.4,5473.5,5979.1,4208.4,4728.2,5047.1
637.69,634.52,845.49,881.3,797.66,809.3,952.05,730.69,670.76,647.34,638.05,930.35,894.85,803.97,859.61,822.53,674.42,952.03,896.22,690.33,1000.7,725.86,981.92,652.68,868.55,740.13,829.94,678.48,608.39
386.64,42.45,206.01,99.92,392.13,65.6,108.58,394.54,441.46,334.89,340.15,227.48,436.64,428.92,100.26,622.85,409.55,475.71,397.97,529.98,27.06,89.42,487.03,398.28,211.66,283.28,103.66,87.3,85.39
538,457.82,602,522.4,564.33,384.02,244.87,503.48,362.48,525.52,391.12,494.83,528.12,570.78,169.92,212,455.92,564.81,304.17,310.42,339.43,339.2,654.42,395.17,600.5,320.04,275.2,550.51,529.77
951.12,1261.6,1168.1,1266,1097,1049.1,935.09,1216.8,1033.6,900.5,1098.3,1053.3,1012.7,922.33,944.73,907.78,1153.7,660.86,626.13,991.19,999.97,1249.4,939.92,1205.4,940.67,1100.9,1109.8,952.1,1198.3
1274.7,841.71,2897.5,483.06,722.06,494.97,705.57,1060.4,693.56,658.06,908.66,1246.5,1625.6,1225.8,1183.1,323.1,983.13,983.33,385.33,223.42,674.23,665.43,250.04,832.61,382.12,1108.5,780.95,732.61,794.19
337.45,86.78,282.81,97.23,93,151.09,81.375,537.77,109.72,278.63,91.01,212.29,136.75,152.16,75.705,197.43,73.71,207.52,383.75,229.24,90.55,110.59,63.09,143.9,97.02,269.45,97.285,334.58,96.845
199.46,172.28,152.78,221.32,119.91,169.28,301.16,39.61,142.29,130.58,171,188.1,237.84,125.88,148.97,84.282,241.63,172.85,197.62,164.48,376.75,184.13,208.76,267.05,212.49,271.2,143.86,209.21,123.56
160.02,428.85,339.45,513.37,687.4,409.99,391.05,481.68,276.05,258.88,263.25,393.23,245.26,420.87,777.88,615.95,388.5,497.61,538.33,639.21,389.07,478.98,807.23,306.71,419.06,403.3,492.33,391.76,321.29
205.44,416.28,311.17,183.75,239.7,304.94,299.31,237.49,369.25,341.13,251.44,311.46,314.53,265.17,239.57,301.68,325.61,392.07,360.36,342.7,184.44,196.74,241.26,339.35,203.31,248.12,223.99,229,216.91
36.195,48.07,92.015,83.06,44.54,53.34,29.85,132.92,38.815,35.105,27.25,101.2,34.21,39.685,83.22,59.815,23.595,32.08,59.955,20.565,90.785,152.36,127.63,65.3,76.23,86.845,76.56,107.97,112.54
737.54,746.78,350.19,430.6,463.41,396.81,408.89,341.94,750.81,765.15,460.61,513.03,710.79,695.78,382.31,408.33,356.96,1190.6,547.44,488.61,462.36,590.24,352.46,721.82,541.01,556.44,348.14,549.73,560.87
