0,1,2,3,4,5
21.252,19.77,17.304,14.589,12.349,25.463
2.2815,10.188,1.3656,2.5649,2.9839,4.5608
3.1282,3.9962,2.2745,1.4905,1.0228,3.2848
25.43,23.61,24.205,23.074,21.581,34.856
83.007,65.973,77.66,91.078,103.11,81.145
0.13416,0.41124,0.15386,0.13731,0,0.17555
0.28442,0.61846,0.40493,0.43365,0.21343,0.57753
0.39641,4.8291,0.59781,0.43155,1.1063,0.59116
0.016514,20.235,0.24837,0.69975,1.3348,0.89464
0.041469,0.02724,0.020382,0,0.042973,0.023257
0.21179,0.16694,0.093687,0.29914,0.43894,0.11878
0,0.098934,0,0,0,0
0.3419,1.8967,0.80456,0.67735,0.45865,0.56341
0.038623,0.28541,0.12339,0.15417,0.055032,0.097472
3.0329,4.5312,3.4366,2.3098,2.5149,3.8861
3.9953,7.338,4.4896,5.2693,6.9457,5.8937
1.9392,3.6845,3.0952,3.4446,4.5161,5.1805
0.33101,0.13046,0.097616,0,0.61742,0.33414
40.667,24.45,36.739,29.607,32.602,42.677
2.2785,13.725,2.326,1.5012,3.0733,3.5748
0.10958,1.7274,0.24236,0.20187,0.34065,0.27653
0.11693,2.3618,0.64655,0.16156,0.18175,0.63936
0.7133,3.0455,0.73625,0.65706,1.3305,0.76006
0,0.21248,0.15899,0.099324,0.2933,0.18141
0.14522,1.9316,0.053531,0.23409,1.044,0.18324
0.78599,4.5439,0.83241,0.72002,1.269,1.337
15.067,21.859,15.024,18.704,16.04,19.11
2.9215,4.5532,3.0963,4.1921,4.8906,2.6704
0.22667,3.8699,0.44982,0.61275,0.75407,1.7536
0,0.23396,0,0,0,0.049938
0.026275,0.051777,0,0.048406,0,0
6.0861,8.78,6.001,7.2485,6.4049,6.6423
0.18614,0.040755,0,0.49533,0.24111,0.31316
0.62373,1.2024,1.3796,0.87432,1.5597,1.2547
2.3458,5.5334,2.9885,2.5258,2.5826,3.6728
24.709,41.949,31.885,26.079,28.615,33.735
0.13536,0.30779,0.092122,0.038366,0.12948,0.33285
0.45305,0.68021,0.98614,0.59618,0.30181,0.58075
1.6068,5.4841,1.8427,3.3084,5.4848,1.7669
0.032342,0.50076,0.16351,0.23834,0.38781,0.14769
0.25345,2.0691,0.10678,0.20011,0.16884,0.48733
0.16194,1.9244,0.19537,0.090409,0.35852,0.23118
0,0,0,0,0,0
0,0,0,0,0,0
0,0.093708,0.028047,0,0,0
2.8548,4.6843,2.9553,2.1253,2.8436,1.5684
1.9935,1.2264,1.1835,1.1787,1.2566,1.1327
0.086387,0,0.04246,0,0,0
0.0078042,0.015379,0.034522,0,0.036392,0.03939
0.13142,4.2731,0.66804,0.97484,1.1988,0.97753
0.17677,1.1844,0.88621,0.26053,0.10991,0.47585
21.89,28.624,56.816,12.189,29.242,27.608
0,0,0,0,0,0.23668
0.62966,4.7921,0.12806,0.24001,0.64124,1.3516
36.722,29.91,30.333,17.274,19.679,28.501
10.027,12.816,9.5802,8.2292,8.8876,10.953
0.31848,10.056,0.68829,0.46133,0.95608,0.72808
0,0.035296,0.052821,0,0,0
0,0.90985,0,0,0.059807,0.12947
11.087,16.443,11.773,8.4859,9.5717,16.071
0.0058262,0.022962,0.017182,0.010734,0.15396,0.10783
0.49547,1.7017,1.2942,0.86065,2.2885,1.31
27.954,28.931,24.41,18.487,29.111,28.097
0.2289,0.18043,0.67504,0.16868,0.7116,0.23107
9.156,10.876,7.6505,6.2319,10.634,10.184
4.1746,7.2706,3.8859,3.5717,3.1921,5.5753
2.9448,5.7355,3.4884,2.1968,2.5818,4.0252
0,0,0,0,0,0
8.1031,12.958,7.4511,7.9073,7.2056,8.1994
0.013292,0.12442,0.0196,0.1102,0.020662,0.011182
0.018909,0,0,0,0.035271,0.0063628
0.043239,0,0,0.053107,0.13442,0.16975
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.17201,1.7892,0.7882,0.19856,0.36722,0.49088
0,0,0,0,0,0
0,0,0,0,0.02474,0.026779
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.1828,7.5833,2.1011,3.4905,2.2537,2.4241
0,0,0,0,0,0
3.4001,3.8531,3.9588,6.2283,2.5094,2.0921
0.396,0.3848,0.20941,0.098114,0.22499,0.34921
146.27,93.45,124.99,78.697,91.887,113.47
0.82174,1.1969,0,0.52657,0.33321,0.06011
2.5741,24.932,3.0157,3.9237,3.9244,5.5885
8.7783,9.9799,6.9698,11.048,12.121,6.0321
