0,1,2,3,4,5,6,7,8,9,10
0.47253,1.6329,0,2.2172,0,0.62229,0.30993,0,0,1.4551,0
0,0.76605,0.25944,1.6383,0,0,0,0,0,0.30718,0
0,0.83066,0.56265,4.0605,0.22214,0,0.70948,0,0,1.6654,0
0.63674,18.563,6.4112,31.073,1.0274,13.297,17.988,1.1516,0.37046,14.033,0.47823
0.050839,0.07808,0.066109,0.10735,0.0052202,0.016738,0.050017,0,0,0.078273,0.032073
0.017767,0.19556,0.19715,0.48908,0.0048648,0.21838,0.31075,0.05891,0.017025,0.53979,0.079707
0.18022,0.80519,0.61357,1.8604,0.10767,0.712,2.493,0.31113,0.031399,2.8251,0.027563
1.3789,0.76475,0.97623,2.1567,0.55061,1.3619,1.5827,1.1084,0.5689,3.0429,0.46718
67.365,56.468,63.613,61.719,48.656,79.259,56.685,43.334,51.743,70.73,58.454
7.6344,6.381,4.991,7.436,5.8026,7.9797,5.5872,4.0696,5.791,6.2359,5.5296
0.41164,0.73204,1.1495,1.2809,0.40933,0.74182,0.53998,0.68572,0.955,0.53371,0.36449
0.31694,0.40933,0.37468,0.60839,0.26035,0.36047,0.17008,0.3778,0.17947,0.30166,0.31508
11.106,9.6345,8.0591,9.295,9.9726,10.136,11.205,10.43,9.8002,9.4528,9.618
0.56879,1.5791,1.8207,2.7921,1.4017,2.1319,1.9514,1.5826,1.6351,2.2095,1.0673
2.0298,1.5844,2.4307,3.3336,2.8538,3.3855,3.2552,3.5552,3.6604,3.7365,1.6699
19.026,28.344,25.407,28.62,35.184,34.148,29.594,34.573,47.44,31.858,32.123
4.715,8.5597,8.7025,9.8692,7.9248,11.503,10.974,9.1957,5.9965,9.474,6.5067
26.499,30.35,31.732,33.579,41.098,24.195,33.29,36.92,37.872,28.263,37.123
10.234,16.343,12.945,14.352,22.163,11.257,17.773,15.828,13.54,13.68,16.924
8.2106,9.7847,7.6371,12.831,8.685,14.652,12.579,9.418,8.3896,13.477,10.076
0.12378,0.063368,0.085845,0.40011,0.090381,0.16301,0.50516,0.17412,0.065895,0.54208,0.092552
30.17,29.437,30.066,22.149,49.797,20.125,26.851,41.397,27.178,22.321,36.741
39.831,42.65,61.105,74.009,25.462,68.845,38.167,65.102,34.755,67.53,49.356
36.257,25.632,31.156,30.403,40.167,34.376,30.026,28.263,36.676,31.936,34.763
0.12232,0.046965,0.12725,0.11479,0.15072,0,0,0,0.23442,0.22599,0.10289
70.718,105.13,89.31,118.67,74.281,115.08,119.65,72.872,82.563,108.55,71.859
2.5384,2.6675,2.6408,4.8898,4.0607,3.343,5.2577,2.7788,1.1522,3.2912,2.0229
29.049,20.761,25.953,22.582,29.302,22.943,21.891,19.719,25.15,25.815,24.831
1.5373,2.6563,2.319,3.9675,1.2629,2.227,3.7308,1.1817,1.1049,2.935,2.2631
0.79583,0.43006,0.81257,1.4107,1.0896,1.3392,1.3146,0.73299,0.084734,0.99838,0.74382
4.7794,15.861,13.132,24.322,9.9022,31.638,22.06,7.3006,8.3056,22.355,5.5199
0.62003,0.50788,1.4191,1.2413,1.3582,1.6875,0.81335,0.85974,1.0299,1.2219,0.8345
1.0036,0.35033,0.66443,0.38531,0.07495,0.36047,0.059844,0.37129,0.21858,0.33715,0.38375
